predecessora;sucessora;tipo_vinculo;lag_dias
T187;T253;TI;0
T188;T253;TI;0
T189;T253;TI;0
T190;T253;TI;0
T191;T253;TI;0
T192;T253;TI;0
T193;T253;TI;0
T194;T253;TI;0
T195;T253;TI;0
T187;T256;TI;0
T188;T256;TI;0
T189;T256;TI;0
T190;T256;TI;0
T191;T256;TI;0
T192;T256;TI;0
T193;T256;TI;0
T194;T256;TI;0
T195;T256;TI;0
T187;T248;TI;0
T188;T248;TI;0
T189;T248;TI;0
T190;T248;TI;0
T191;T248;TI;0
T192;T248;TI;0
T193;T248;TI;0
T194;T248;TI;0
T195;T248;TI;0
T188;T231;TI;0
T188;T213;TI;0
T188;T196;TI;0
T188;T197;TI;0
T188;T200;TI;0
T189;T201;TI;0
T189;T231;TI;0
T189;T196;TI;0
T189;T197;TI;0
T190;T231;TI;0
T190;T214;TI;0
T190;T196;TI;0
T190;T197;TI;0
T190;T202;TI;0
T191;T231;TI;0
T191;T215;TI;0
T191;T196;TI;0
T191;T197;TI;0
T191;T203;TI;0
T192;T231;TI;0
T192;T217;TI;0
T192;T196;TI;0
T192;T197;TI;0
T192;T221;TI;0
T192;T204;TI;0
T193;T231;TI;0
T193;T218;TI;0
T193;T196;TI;0
T193;T197;TI;0
T193;T205;TI;0
T194;T231;TI;0
T194;T219;TI;0
T194;T196;TI;0
T194;T197;TI;0
T194;T206;TI;0
T195;T231;TI;0
T195;T220;TI;0
T195;T196;TI;0
T195;T197;TI;0
T195;T207;TI;0
T187;T196;TI;0
T187;T197;TI;0
T199;T244;TI;0
T200;T244;TI;0
T201;T244;TI;0
T202;T244;TI;0
T203;T244;TI;0
T204;T244;TI;0
T205;T244;TI;0
T206;T244;TI;0
T207;T244;TI;0
T199;T249;TI;0
T200;T249;TI;0
T201;T249;TI;0
T202;T249;TI;0
T203;T249;TI;0
T204;T249;TI;0
T205;T249;TI;0
T206;T249;TI;0
T207;T249;TI;0
T199;T250;TI;0
T200;T250;TI;0
T201;T250;TI;0
T202;T250;TI;0
T203;T250;TI;0
T204;T250;TI;0
T205;T250;TI;0
T206;T250;TI;0
T207;T250;TI;0
T199;T252;TI;0
T200;T252;TI;0
T201;T252;TI;0
T202;T252;TI;0
T203;T252;TI;0
T204;T252;TI;0
T205;T252;TI;0
T206;T252;TI;0
T207;T252;TI;0
T199;T253;TI;0
T200;T253;TI;0
T201;T253;TI;0
T202;T253;TI;0
T203;T253;TI;0
T204;T253;TI;0
T205;T253;TI;0
T206;T253;TI;0
T207;T253;TI;0
T199;T257;TI;0
T200;T257;TI;0
T201;T257;TI;0
T202;T257;TI;0
T203;T257;TI;0
T204;T257;TI;0
T205;T257;TI;0
T206;T257;TI;0
T207;T257;TI;0
T199;T248;TI;0
T200;T248;TI;0
T201;T248;TI;0
T202;T248;TI;0
T203;T248;TI;0
T204;T248;TI;0
T205;T248;TI;0
T206;T248;TI;0
T207;T248;TI;0
T187;T199;TI;0
T199;T233;TI;0
T199;T208;TI;0
T199;T209;TI;0
T199;T212;TI;0
T200;T233;TI;0
T200;T208;TI;0
T200;T209;TI;0
T201;T233;TI;0
T201;T208;TI;0
T201;T209;TI;0
T202;T233;TI;0
T202;T208;TI;0
T202;T209;TI;0
T203;T233;TI;0
T203;T208;TI;0
T203;T209;TI;0
T204;T233;TI;0
T204;T208;TI;0
T204;T209;TI;0
T205;T233;TI;0
T205;T208;TI;0
T205;T209;TI;0
T206;T233;TI;0
T206;T208;TI;0
T206;T209;TI;0
T207;T233;TI;0
T207;T208;TI;0
T207;T209;TI;0
T214;T244;TI;0
T215;T244;TI;0
T216;T244;TI;0
T217;T244;TI;0
T218;T244;TI;0
T219;T244;TI;0
T220;T244;TI;0
T221;T244;TI;0
T211;T244;TI;0
T212;T244;TI;0
T213;T244;TI;0
T214;T249;TI;0
T215;T249;TI;0
T216;T249;TI;0
T217;T249;TI;0
T218;T249;TI;0
T219;T249;TI;0
T220;T249;TI;0
T221;T249;TI;0
T211;T249;TI;0
T212;T249;TI;0
T213;T249;TI;0
T214;T250;TI;0
T215;T250;TI;0
T216;T250;TI;0
T217;T250;TI;0
T218;T250;TI;0
T219;T250;TI;0
T220;T250;TI;0
T221;T250;TI;0
T211;T250;TI;0
T212;T250;TI;0
T213;T250;TI;0
T214;T252;TI;0
T215;T252;TI;0
T216;T252;TI;0
T217;T252;TI;0
T218;T252;TI;0
T219;T252;TI;0
T220;T252;TI;0
T221;T252;TI;0
T211;T252;TI;0
T212;T252;TI;0
T213;T252;TI;0
T214;T253;TI;0
T215;T253;TI;0
T216;T253;TI;0
T217;T253;TI;0
T218;T253;TI;0
T219;T253;TI;0
T220;T253;TI;0
T221;T253;TI;0
T211;T253;TI;0
T212;T253;TI;0
T213;T253;TI;0
T214;T258;TI;0
T215;T258;TI;0
T216;T258;TI;0
T217;T258;TI;0
T218;T258;TI;0
T219;T258;TI;0
T220;T258;TI;0
T221;T258;TI;0
T211;T258;TI;0
T212;T258;TI;0
T213;T258;TI;0
T214;T248;TI;0
T215;T248;TI;0
T216;T248;TI;0
T217;T248;TI;0
T218;T248;TI;0
T219;T248;TI;0
T220;T248;TI;0
T221;T248;TI;0
T211;T248;TI;0
T212;T248;TI;0
T213;T248;TI;0
T211;T235;TI;0
T211;T222;TI;0
T211;T223;TI;0
T211;T225;TI;0
T212;T222;TI;0
T214;T222;TI;0
T215;T222;TI;0
T218;T222;TI;0
T213;T222;TI;0
T219;T222;TI;0
T212;T223;TI;0
T214;T223;TI;0
T215;T223;TI;0
T218;T223;TI;0
T219;T223;TI;0
T221;T223;TI;0
T221;T224;TI;0
T224;T227;TI;0
T225;T258;TI;0
T212;T226;TI;0
T213;T226;TI;0
T214;T226;TI;0
T215;T226;TI;0
T216;T226;TI;0
T218;T226;TI;0
T219;T226;TI;0
T227;T258;TI;0
T229;T244;TI;0
T229;T230;TI;0
T230;T231;TI;0
T187;T231;TI;0
T231;T232;TI;0
T231;T233;TI;0
T233;T234;TI;0
T212;T235;TI;0
T214;T235;TI;0
T215;T235;TI;0
T218;T235;TI;0
T219;T235;TI;0
T233;T235;TI;0
T235;T236;TI;0
T238;T241;TI;0
T238;T255;TI;0
T239;T241;TI;0
T239;T256;TI;0
T240;T257;TI;0
T242;T243;TI;0
T242;T258;TI;0
T244;T245;TI;0
T244;T246;TI;0
T245;T247;TI;0
T246;T247;TI;0
T229;T255;TI;0
T184;T255;TI;0
T185;T255;TI;0
T255;T256;TI;0
T255;T268;TI;0
T255;T269;TI;0
T255;T259;TI;0
T255;T263;TI;0
T231;T256;TI;0
T196;T256;TI;0
T197;T256;TI;0
T256;T258;TI;0
T256;T270;TI;0
T256;T271;TI;0
T256;T260;TI;0
T256;T264;TI;0
T256;T257;TI;0
T233;T257;TI;0
T208;T257;TI;0
T209;T257;TI;0
T257;T274;TI;0
T257;T275;TI;0
T257;T262;TI;0
T257;T266;TI;0
T257;T258;TI;0
T235;T258;TI;0
T222;T258;TI;0
T223;T258;TI;0
T226;T258;TI;0
T258;T261;TI;0
T258;T265;TI;0
T258;T272;TI;0
T258;T273;TI;0
T290;T291;TI;0
