id;nome;nivel;tipo;entregavel;disciplina;fase;revisao;zona;papel;duracao_dias;inicio_praticado;fim_praticado;pct_concluido;estado
T027;Emissao | ARI | EP | R02;ATIVIDADE;EMISSAO;E001;ARI;EP;R02;;PROJ-INT;5;157;161;0;NAO_INICIADA
T028;Emissao | ARI | EP | R01;ATIVIDADE;EMISSAO;E001;ARI;EP;R01;;PROJ-INT;5;157;161;0;NAO_INICIADA
T029;Emissao | ARI | EP | R02 (2);ATIVIDADE;EMISSAO;E001;ARI;EP;R02;;PROJ-INT;5;157;161;0;NAO_INICIADA
T030;Analise | ARI | EP (3);ATIVIDADE;ANALISE;E001;ARI;EP;;;ANL-PRODUTO;2;162;163;0;NAO_INICIADA
T031;Emissao | ARI | EP | R03;ATIVIDADE;EMISSAO;E001;ARI;EP;R03;;PROJ-INT;8;164;171;0;NAO_INICIADA
T032;Emissao | ARI | EP | R02 (3);ATIVIDADE;EMISSAO;E001;ARI;EP;R02;;PROJ-INT;8;164;171;0;NAO_INICIADA
T033;Emissao | ARI | EP | R03 (2);ATIVIDADE;EMISSAO;E001;ARI;EP;R03;;PROJ-INT;8;164;171;0;NAO_INICIADA
T034;Emissao | ARI | EP | R00 (2);ATIVIDADE;EMISSAO;E002;ARI;EP;R00;;PROJ-INT;10;170;179;0;NAO_INICIADA
T035;Analise | ARI | EP (4);ATIVIDADE;ANALISE;E001;ARI;EP;;;ANL-PRODUTO;5;180;184;0;NAO_INICIADA
T036;Emissao | ARI | EP | R01 (2);ATIVIDADE;EMISSAO;E002;ARI;EP;R01;;PROJ-INT;5;185;189;0;NAO_INICIADA
T037;Emissao | PSG | GERAL;ATIVIDADE;EMISSAO;E003;PSG;GERAL;;;PROJ-PSG;53;95;147;100;CONCLUIDA
T038;Emissao | LUM | GERAL;AGRUPADOR;EMISSAO;;LUM;GERAL;;;PROJ-LUM;59;96;154;87;EM_ANDAMENTO
T039;Emissao | LUM | GERAL (2);ATIVIDADE;EMISSAO;E004;LUM;GERAL;;;PROJ-LUM;12;96;107;100;CONCLUIDA
T040;Analise | LUM | GERAL;ATIVIDADE;ANALISE;E004;LUM;GERAL;;;ANL-PRODUTO;2;110;111;100;CONCLUIDA
T041;Emissao | LUM | GERAL (3);ATIVIDADE;EMISSAO;E004;LUM;GERAL;;;PROJ-LUM;5;112;116;100;CONCLUIDA
T042;Emissao | LUM | GERAL (4);ATIVIDADE;EMISSAO;E004;LUM;GERAL;;;PROJ-LUM;15;137;151;100;CONCLUIDA
T043;Analise | LUM | GERAL (2);ATIVIDADE;ANALISE;E004;LUM;GERAL;;;ANL-PRODUTO;5;152;156;0;NAO_INICIADA
T044;Gate | ARI | GERAL (2);ATIVIDADE;GATE;;ARI;GERAL;;;ANL-PRODUTO;2;110;111;100;CONCLUIDA
T045;Gate | ARI | GERAL (3);ATIVIDADE;GATE;;ARI;GERAL;;;PROJ-INT;1;117;117;100;CONCLUIDA
T046;Analise | ARI | GERAL (6);ATIVIDADE;ANALISE;E001;ARI;GERAL;;;"ANL-PRODUTO;ANL-ENGENHARIA";3;118;120;100;CONCLUIDA
T047;Retrabalho | GERAL | AP;ATIVIDADE;RETRABALHO;;GERAL;AP;;;"PROJ-INT;PROJ-LUM;PROJ-PSG";10;124;133;100;CONCLUIDA
T048;Gate | GERAL | AP;ATIVIDADE;GATE;;GERAL;AP;;;DEC-DIRETORIA;5;134;138;100;CONCLUIDA
T049;Emissao | GERAL | AP;ATIVIDADE;EMISSAO;;GERAL;AP;;;ANL-PRODUTO;20;139;158;0;NAO_INICIADA
T050;Emissao | GERAL | GERAL (2);AGRUPADOR;EMISSAO;;GERAL;GERAL;;;MULTI-DISCIPLINAS;252;75;326;25;EM_ANDAMENTO
T051;Emissao | GERAL | GERAL (3);AGRUPADOR;EMISSAO;;GERAL;GERAL;;;MULTI-DISCIPLINAS;165;75;239;48;EM_ANDAMENTO
T052;Emissao | ARQ | AP | ZONA-4;AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-4;PROJ-ARQ;47;92;138;100;CONCLUIDA
T053;Emissao | ARQ | AP | ZONA-4 (2);AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-4;PROJ-ARQ;65;100;164;82;EM_ANDAMENTO
T054;Analise | ARQ | AP | ZONA-1;ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-PRODUTO;15;100;114;100;CONCLUIDA
T055;Analise | ARQ | AP | ZONA-1 (2);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-ENGENHARIA;15;100;114;100;CONCLUIDA
T056;Analise | ARQ | AP | ZONA-2;ATIVIDADE;ANALISE;E006;ARQ;AP;;ZONA-2;ANL-PRODUTO;15;115;129;100;CONCLUIDA
T057;Analise | ARQ | AP | ZONA-2 (2);ATIVIDADE;ANALISE;E006;ARQ;AP;;ZONA-2;ANL-ENGENHARIA;15;115;129;100;CONCLUIDA
T058;Analise | ARQ | AP | ZONA-3;ATIVIDADE;ANALISE;E007;ARQ;AP;;ZONA-3;ANL-PRODUTO;15;130;144;100;CONCLUIDA
T059;Analise | ARQ | AP | ZONA-3 (2);ATIVIDADE;ANALISE;E007;ARQ;AP;;ZONA-3;ANL-ENGENHARIA;15;130;144;100;CONCLUIDA
T060;Analise | ARQ | AP | ZONA-4;ATIVIDADE;ANALISE;E008;ARQ;AP;;ZONA-4;PROJ-ARQ;20;145;164;0;NAO_INICIADA
T061;Emissao | ARQ | AP | ZONA-4 (3);AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-4;PROJ-ARQ;165;75;239;65;EM_ANDAMENTO
T062;Emissao | ARQ | AP | ZONA-1;AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-1;PROJ-ARQ;43;75;117;100;CONCLUIDA
T063;Emissao | ARQ | AP | ZONA-2;AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-2;PROJ-ARQ;55;75;129;100;CONCLUIDA
T064;Emissao | ARQ | AP | ZONA-3;AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-3;PROJ-ARQ;60;75;134;100;CONCLUIDA
T065;Emissao | ARQ | AP | ZONA-4 (4);AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-4;PROJ-ARQ;79;75;153;82;EM_ANDAMENTO
T066;Emissao | FUN | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E009;FUN;AP;R00;ZONA-4;PROJ-FUN;23;75;97;100;CONCLUIDA
T067;Emissao | COM | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E010;COM;AP;R00;ZONA-4;PROJ-COM;23;75;97;100;CONCLUIDA
T068;Emissao | ELE | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E011;ELE;AP;R00;ZONA-4;PROJ-ELE;16;109;124;100;CONCLUIDA
T069;Emissao | GAS | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E012;GAS;AP;R00;ZONA-4;PROJ-GAS;22;101;122;100;CONCLUIDA
T070;Emissao | HID | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E013;HID;AP;R00;ZONA-4;PROJ-HID;11;109;119;100;CONCLUIDA
T071;Emissao | SMOP | AP | ZONA-4;ATIVIDADE;EMISSAO;E014;SMOP;AP;;ZONA-4;PROJ-PCI;20;130;149;0;NAO_INICIADA
T072;Emissao | PCI | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E015;PCI;AP;R00;ZONA-4;PROJ-PCI;28;75;102;100;CONCLUIDA
T073;Emissao | CLI | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E016;CLI;AP;R00;ZONA-4;PROJ-CLI;15;124;138;100;CONCLUIDA
T074;Emissao | CLI | AP | R01 | ZONA-4;ATIVIDADE;EMISSAO;E016;CLI;AP;R01;ZONA-4;PROJ-CLI;15;141;155;0;NAO_INICIADA
T075;Emissao | AUT | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E017;AUT;AP;R00;ZONA-4;PROJ-AUT;16;109;124;100;CONCLUIDA
T076;Emissao | PISC | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E018;PISC;AP;R00;ZONA-4;CONS-02;10;132;141;100;CONCLUIDA
T077;Emissao | EST | EP | R01 | ZONA-4;AGRUPADOR;EMISSAO;;EST;EP;R01;ZONA-4;PROJ-EST;55;101;155;62;EM_ANDAMENTO
T078;Emissao | EST | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E019;EST;AP;R01;ZONA-1;PROJ-EST;5;101;105;100;CONCLUIDA
T079;Emissao | EST | AP | R01 | ZONA-2;ATIVIDADE;EMISSAO;E020;EST;AP;R01;ZONA-2;PROJ-EST;6;111;116;100;CONCLUIDA
T080;Emissao | EST | AP | R01 | ZONA-3;ATIVIDADE;EMISSAO;E021;EST;AP;R01;ZONA-3;PROJ-EST;7;124;130;100;CONCLUIDA
T081;Emissao | EST | AP | R01 | ZONA-4;ATIVIDADE;EMISSAO;E022;EST;AP;R01;ZONA-4;PROJ-EST;11;145;155;0;NAO_INICIADA
T082;Emissao | ACU | AP | R00 | ZONA-4;AGRUPADOR;EMISSAO;;ACU;AP;R00;ZONA-4;PROJ-ACU;38;102;139;100;CONCLUIDA
T083;Emissao | ACU | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E023;ACU;AP;R01;ZONA-1;PROJ-ACU;13;102;114;100;CONCLUIDA
T084;Emissao | ACU | AP | R01 | ZONA-2;ATIVIDADE;EMISSAO;E024;ACU;AP;R01;ZONA-2;PROJ-ACU;8;132;139;100;CONCLUIDA
T085;Emissao | ACU | AP | R01 | ZONA-3;ATIVIDADE;EMISSAO;E025;ACU;AP;R01;ZONA-3;PROJ-ACU;3;137;139;100;CONCLUIDA
T086;Emissao | ARQ | AP | ZONA-4 (5);AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-4;PROJ-ARQ;93;120;212;30;EM_ANDAMENTO
T087;Analise | ARQ | AP | ZONA-1 (3);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-PRODUTO;32;120;151;100;CONCLUIDA
T088;Analise | ARQ | AP | ZONA-1 (4);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-ENGENHARIA;32;120;151;100;CONCLUIDA
T089;Analise | ARQ | AP | ZONA-2 (3);ATIVIDADE;ANALISE;E006;ARQ;AP;;ZONA-2;ANL-PRODUTO;20;152;171;0;NAO_INICIADA
T090;Analise | ARQ | AP | ZONA-2 (4);ATIVIDADE;ANALISE;E006;ARQ;AP;;ZONA-2;ANL-ENGENHARIA;20;152;171;0;NAO_INICIADA
T091;Analise | ARQ | AP | ZONA-3 (3);ATIVIDADE;ANALISE;E007;ARQ;AP;;ZONA-3;ANL-PRODUTO;20;173;192;0;NAO_INICIADA
T092;Analise | ARQ | AP | ZONA-3 (4);ATIVIDADE;ANALISE;E007;ARQ;AP;;ZONA-3;ANL-ENGENHARIA;20;173;192;0;NAO_INICIADA
T093;Analise | ARQ | AP | ZONA-4 (2);ATIVIDADE;ANALISE;E008;ARQ;AP;;ZONA-4;ANL-PRODUTO;21;194;214;0;NAO_INICIADA
T094;Analise | ARQ | AP | ZONA-4 (3);ATIVIDADE;ANALISE;E008;ARQ;AP;;ZONA-4;ANL-ENGENHARIA;21;194;214;0;NAO_INICIADA
T095;Emissao | ARQ | AP | ZONA-4 (6);ATIVIDADE;EMISSAO;E008;ARQ;AP;;ZONA-4;ANL-PRODUTO;26;125;150;0;NAO_INICIADA
T096;Emissao | COM | AP | ZONA-4;ATIVIDADE;EMISSAO;E010;COM;AP;;ZONA-4;CONS-03;10;156;165;0;NAO_INICIADA
T097;Consultoria | CTV | AP | ZONA-4;ATIVIDADE;CONSULTORIA;;CTV;AP;;ZONA-4;CONS-AMBIENTAL;20;156;175;0;NAO_INICIADA
T098;Consultoria | INS | AP | ZONA-4;ATIVIDADE;CONSULTORIA;;INS;AP;;ZONA-4;CONS-INSTALACOES;20;156;175;0;NAO_INICIADA
T099;Emissao | ARQ | AP | ZONA-4 (7);ATIVIDADE;EMISSAO;E008;ARQ;AP;;ZONA-4;ANL-PRODUTO;20;156;175;0;NAO_INICIADA
T100;Emissao | SEG | AP | R00 | ZONA-4;ATIVIDADE;EMISSAO;E026;SEG;AP;R00;ZONA-4;PROJ-SEG;10;151;160;0;NAO_INICIADA
T101;Compatibilizacao | CLASH | AP | ZONA-4;ATIVIDADE;COMPATIBILIZACAO;;CLASH;AP;;ZONA-4;ANL-COORD;15;221;235;0;NAO_INICIADA
T102;Analise | ARQ | AP | ZONA-4 (4);ATIVIDADE;ANALISE;E008;ARQ;AP;;ZONA-4;ANL-PRODUTO;10;236;245;0;NAO_INICIADA
T103;Analise | ARQ | AP | ZONA-4 (5);ATIVIDADE;ANALISE;E008;ARQ;AP;;ZONA-4;ANL-ENGENHARIA;10;236;245;0;NAO_INICIADA
T104;Gate | ARQ | AP | ZONA-4;ATIVIDADE;GATE;;ARQ;AP;;ZONA-4;PROJ-ARQ;13;156;168;0;NAO_INICIADA
T105;Emissao | SMOP | PL | ZONA-4;AGRUPADOR;EMISSAO;;SMOP;PL;;ZONA-4;PROJ-HID;96;105;200;29;EM_ANDAMENTO
T106;Emissao | SMOP | PL | ZONA-4 (2);ATIVIDADE;EMISSAO;E027;SMOP;PL;;ZONA-4;PROJ-HID;5;146;150;0;NAO_INICIADA
T107;Tramite externo | SMOP | PL | ZONA-4;ATIVIDADE;TRAMITE-EXTERNO;;SMOP;PL;;ZONA-4;ORG-MUNICIPAL;20;172;191;0;NAO_INICIADA
T108;Emissao | SMOP | PL | ZONA-4 (3);ATIVIDADE;EMISSAO;E027;SMOP;PL;;ZONA-4;PROJ-HID;10;193;202;0;NAO_INICIADA
T109;Emissao | PCI | PL | R00 | ZONA-4;ATIVIDADE;EMISSAO;E028;PCI;PL;R00;ZONA-4;PROJ-PCI;2;105;106;100;CONCLUIDA
T110;Tramite externo | PCI | PL | ZONA-4;ATIVIDADE;TRAMITE-EXTERNO;;PCI;PL;;ZONA-4;ORG-BOMBEIROS;22;106;127;100;CONCLUIDA
T111;Tramite externo | PCI | PL | R01 | ZONA-4;ATIVIDADE;TRAMITE-EXTERNO;;PCI;PL;R01;ZONA-4;ORG-PUBLICO;23;128;150;0;NAO_INICIADA
T112;Emissao | ARQ | AP | ZONA-4 (8);AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-4;PROJ-ARQ;89;150;238;0;NAO_INICIADA
T113;Emissao | ARI | AP | R00 | ZONA-4;AGRUPADOR;EMISSAO;;ARI;AP;R00;ZONA-4;PROJ-INT;50;191;240;0;NAO_INICIADA
T114;Emissao | ARI | AP | R00 | ZONA-4 (2);ATIVIDADE;EMISSAO;E029;ARI;AP;R00;ZONA-4;PROJ-INT;10;191;200;0;NAO_INICIADA
T115;Emissao | ARI | AP | R00 | ZONA-4 (3);ATIVIDADE;EMISSAO;E029;ARI;AP;R00;ZONA-4;PROJ-INT;10;201;210;0;NAO_INICIADA
T116;Emissao | ARI | AP | R00 | ZONA-4 (4);ATIVIDADE;EMISSAO;E029;ARI;AP;R00;ZONA-4;PROJ-INT;10;212;221;0;NAO_INICIADA
T117;Emissao | ARI | AP | R00 | ZONA-3;ATIVIDADE;EMISSAO;E030;ARI;AP;R00;ZONA-3;PROJ-INT;10;223;232;0;NAO_INICIADA
T118;Analise | ARI | AP | ZONA-4;ATIVIDADE;ANALISE;E029;ARI;AP;;ZONA-4;ANL-PRODUTO;10;233;242;0;NAO_INICIADA
T119;Consultoria | ARI | AP | R00 | ZONA-4;ATIVIDADE;CONSULTORIA;;ARI;AP;R00;ZONA-4;PROJ-INT;25;201;225;0;NAO_INICIADA
T120;Emissao | ARI | AP | R00 | ZONA-4 (5);ATIVIDADE;EMISSAO;E029;ARI;AP;R00;ZONA-4;PROJ-INT;25;201;225;0;NAO_INICIADA
T121;Analise | ARI | AP | ZONA-4 (2);ATIVIDADE;ANALISE;E029;ARI;AP;;ZONA-4;ANL-PRODUTO;10;228;237;0;NAO_INICIADA
T122;Emissao | PSG | AP | R00 | ZONA-4;AGRUPADOR;EMISSAO;;PSG;AP;R00;ZONA-4;PROJ-PSG;30;150;179;0;NAO_INICIADA
T123;Emissao | PSG | AP | R00 | ZONA-4 (2);ATIVIDADE;EMISSAO;E031;PSG;AP;R00;ZONA-4;PROJ-PSG;20;150;169;0;NAO_INICIADA
T124;Consultoria | PSG | AP | R00 | ZONA-4;ATIVIDADE;CONSULTORIA;;PSG;AP;R00;ZONA-4;PROJ-PSG;5;171;175;0;NAO_INICIADA
T125;Emissao | PSG | AP | R00 | ZONA-4 (3);ATIVIDADE;EMISSAO;E031;PSG;AP;R00;ZONA-4;PROJ-PSG;10;171;180;0;NAO_INICIADA
T126;Analise | PSG | AP | ZONA-4;ATIVIDADE;ANALISE;E031;PSG;AP;;ZONA-4;ANL-PRODUTO;10;171;180;0;NAO_INICIADA
T127;Analise | ARQ | AP | ZONA-4 (6);ATIVIDADE;ANALISE;E008;ARQ;AP;;ZONA-4;ANL-PRODUTO;10;181;190;0;NAO_INICIADA
T128;Emissao | ARQ | AP | ZONA-4 (9);ATIVIDADE;EMISSAO;E008;ARQ;AP;;ZONA-4;PROJ-ARQ;5;238;242;0;NAO_INICIADA
T129;Emissao | LUM | AP | R00 | ZONA-4;AGRUPADOR;EMISSAO;;LUM;AP;R00;ZONA-4;PROJ-LUM;59;171;229;0;NAO_INICIADA
T130;Emissao | LUM | AP | R00 | ZONA-4 (2);ATIVIDADE;EMISSAO;E032;LUM;AP;R00;ZONA-4;PROJ-LUM;15;171;185;0;NAO_INICIADA
T131;Emissao | LUM | AP | R00 | ZONA-4 (3);ATIVIDADE;EMISSAO;E032;LUM;AP;R00;ZONA-4;PROJ-LUM;15;201;215;0;NAO_INICIADA
T132;Emissao | LUM | AP | R00 | ZONA-4 (4);ATIVIDADE;EMISSAO;E032;LUM;AP;R00;ZONA-4;PROJ-LUM;15;217;231;0;NAO_INICIADA
T133;Analise | LUM | AP | ZONA-4;ATIVIDADE;ANALISE;E032;LUM;AP;;ZONA-4;ANL-PRODUTO;8;233;240;0;NAO_INICIADA
T134;Compatibilizacao | ARQ | AP | R00 | ZONA-4;AGRUPADOR;COMPATIBILIZACAO;;ARQ;AP;R00;ZONA-4;PROJ-ARQ;96;110;205;33;EM_ANDAMENTO
T135;Emissao | ARQ | AP | ZONA-1 (2);ATIVIDADE;EMISSAO;E005;ARQ;AP;;ZONA-1;PROJ-ARQ;22;110;131;100;CONCLUIDA
T136;Emissao | ARQ | AP | ZONA-4 (10);ATIVIDADE;EMISSAO;E008;ARQ;AP;;ZONA-4;PROJ-ARQ;10;132;141;100;CONCLUIDA
T137;Emissao | ARQ | AP | ZONA-2 (2);ATIVIDADE;EMISSAO;E006;ARQ;AP;;ZONA-2;PROJ-ARQ;24;142;165;0;NAO_INICIADA
T138;Emissao | ARQ | AP | ZONA-3 (2);ATIVIDADE;EMISSAO;E007;ARQ;AP;;ZONA-3;PROJ-ARQ;20;167;186;0;NAO_INICIADA
T139;Emissao | ARQ | AP | ZONA-4 (11);ATIVIDADE;EMISSAO;E008;ARQ;AP;;ZONA-4;PROJ-ARQ;20;187;206;0;NAO_INICIADA
T140;Emissao | ARQ | EP | ZONA-4;AGRUPADOR;EMISSAO;;ARQ;EP;;ZONA-4;PROJ-ARQ;57;120;176;0;NAO_INICIADA
T141;Emissao | ARQ | EP | ZONA-1;ATIVIDADE;EMISSAO;E033;ARQ;EP;;ZONA-1;PROJ-ARQ;52;120;171;0;NAO_INICIADA
T142;Emissao | ARQ | EP | ZONA-2;ATIVIDADE;EMISSAO;E034;ARQ;EP;;ZONA-2;PROJ-ARQ;52;120;171;0;NAO_INICIADA
T143;Emissao | ARQ | EP | ZONA-3;ATIVIDADE;EMISSAO;E035;ARQ;EP;;ZONA-3;PROJ-ARQ;52;120;171;0;NAO_INICIADA
T144;Emissao | ARQ | EP | ZONA-4 (2);ATIVIDADE;EMISSAO;E036;ARQ;EP;;ZONA-4;PROJ-ARQ;52;120;171;0;NAO_INICIADA
T145;Analise | ARQ | EP | ZONA-4;ATIVIDADE;ANALISE;E036;ARQ;EP;;ZONA-4;"ANL-PRODUTO;ANL-ENGENHARIA";5;173;177;0;NAO_INICIADA
T146;Emissao | ARQ | AP | ZONA-4 (12);AGRUPADOR;EMISSAO;;ARQ;AP;;ZONA-4;PROJ-ARQ;79;132;210;33;EM_ANDAMENTO
T147;Emissao | ARQ | AP | ZONA-4 (13);ATIVIDADE;EMISSAO;E008;ARQ;AP;;ZONA-4;ANL-PRODUTO;10;142;151;0;NAO_INICIADA
T148;Analise | ARQ | AP | ZONA-1 (5);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-PRODUTO;10;132;141;100;CONCLUIDA
T149;Analise | ARQ | AP | ZONA-1 (6);ATIVIDADE;ANALISE;E005;ARQ;AP;;ZONA-1;ANL-ENGENHARIA;10;132;141;100;CONCLUIDA
T150;Analise | ARQ | AP | ZONA-2 (5);ATIVIDADE;ANALISE;E006;ARQ;AP;;ZONA-2;ANL-PRODUTO;5;167;171;0;NAO_INICIADA
T151;Analise | ARQ | AP | ZONA-2 (6);ATIVIDADE;ANALISE;E006;ARQ;AP;;ZONA-2;ANL-ENGENHARIA;5;167;171;0;NAO_INICIADA
T152;Analise | ARQ | AP | ZONA-3 (5);ATIVIDADE;ANALISE;E007;ARQ;AP;;ZONA-3;ANL-PRODUTO;5;187;191;0;NAO_INICIADA
T153;Analise | ARQ | AP | ZONA-3 (6);ATIVIDADE;ANALISE;E007;ARQ;AP;;ZONA-3;ANL-ENGENHARIA;5;187;191;0;NAO_INICIADA
T154;Analise | ARQ | AP | ZONA-4 (7);ATIVIDADE;ANALISE;E008;ARQ;AP;;ZONA-4;ANL-PRODUTO;5;209;213;0;NAO_INICIADA
T155;Analise | ARQ | AP | ZONA-4 (8);ATIVIDADE;ANALISE;E008;ARQ;AP;;ZONA-4;ANL-ENGENHARIA;5;209;213;0;NAO_INICIADA
T156;Emissao | ARQ | AP | R01 | ZONA-4;AGRUPADOR;EMISSAO;;ARQ;AP;R01;ZONA-4;PROJ-ARQ;74;142;215;35;EM_ANDAMENTO
T157;Emissao | ARQ | AP | R01 | ZONA-1;ATIVIDADE;EMISSAO;E005;ARQ;AP;R01;ZONA-1;PROJ-ARQ;8;142;149;100;CONCLUIDA
T158;Emissao | ARQ | AP | R01 | ZONA-2;ATIVIDADE;EMISSAO;E006;ARQ;AP;R01;ZONA-2;PROJ-ARQ;5;172;176;0;NAO_INICIADA
T159;Emissao | ARQ | AP | R01 | ZONA-3;ATIVIDADE;EMISSAO;E007;ARQ;AP;R01;ZONA-3;PROJ-ARQ;5;193;197;0;NAO_INICIADA
T160;Emissao | ARQ | AP | R01 | ZONA-4 (2);ATIVIDADE;EMISSAO;E008;ARQ;AP;R01;ZONA-4;PROJ-ARQ;5;214;218;0;NAO_INICIADA
T161;Gate | ARQ | AP | ZONA-4 (2);ATIVIDADE;GATE;;ARQ;AP;;ZONA-4;DEC-DIRETORIA;5;209;213;0;NAO_INICIADA
T162;Emissao | GERAL | AP (2);AGRUPADOR;EMISSAO;;GERAL;AP;;;MULTI-DISCIPLINAS;55;220;274;0;NAO_INICIADA
T163;Emissao | GERAL | GERAL (4);AGRUPADOR;EMISSAO;;GERAL;GERAL;;;MULTI-DISCIPLINAS;177;152;328;0;NAO_INICIADA
T164;Emissao | GERAL | GERAL (5);ATIVIDADE;EMISSAO;;GERAL;GERAL;;;MULTI-DISCIPLINAS;1;162;162;100;CONCLUIDA
